Title,Volume,Publisher,Label,Issue Number,Image,Cover Date,Cover Price,ISBN/UPC,Contributors,Characters,Details,URL

Hot Shots,One-Shot (1987),Hot Comics,Issue:,# 1,https://comicbookrealm.com/cover-scan/2d3fe116e5d14cf04acce6d3ab1a3c61/xl/hot-comics-hot-shots-one-shot-issue-1.jpg,Apr '87,$1.95,,,, ,https://comicbookrealm.com/series/29997/0/hot-comics-hot-shots-one-shot
Johnny Gambit,One-Shot (1987),Hot Comics,Issue:,# 1,https://comicbookrealm.com/cover-scan/a7a121651f6b01982539335710132322/xl/hot-comics-johnny-gambit-one-shot-issue-1.jpg,Apr '87,$1.75,,,, ,https://comicbookrealm.com/series/29998/0/hot-comics-johnny-gambit-one-shot
Shadow Blade,One-Shot (1987),Hot Comics,Issue:,# 1,https://comicbookrealm.com/cover-scan/434e61778b91ac3b9a035c2505e9989c/xl/hot-comics-shadow-blade-one-shot-issue-1.jpg,Jan '87,$1.75,,,, ,https://comicbookrealm.com/series/29845/0/hot-comics-shadow-blade-one-shot
World is Our Icebox,One-Shot (2002),Red Feather Flying Car Co.,Issue:,nn,https://comicbookrealm.com/cover-scan/f2ac46657e42195416fb9bbeb83e1843/xl/red-feather-flying-car-co-world-is-our-icebox-one-shot-issue-nn.jpg,,$2.50,,,,The world as viewed through the eyes of penguins. ,https://comicbookrealm.com/series/62987/0/red-feather-flying-car-co-world-is-our-icebox-one-shot
The Iron Duchess: A Fred the Clown Adventure,(2016),Hotel Fred Press,Soft Cover:,# 1,https://comicbookrealm.com/cover-scan/9bc4cce4ac460d425618a3b8783741fc/xl/hotel-fred-press-the-iron-duchess-a-fred-the-clown-adventure-soft-cover-1.jpg,,$0.00,,,, ,https://comicbookrealm.com/series/70921/0/hotel-fred-press-the-iron-duchess-a-fred-the-clown-adventure
Knuckles the Malevolent Nun: She Might Get Rather Crude,(2007),Hotel Fred Press,TPB:,# 1,,,$0.00,,,, ,https://comicbookrealm.com/series/70926/0/hotel-fred-press-knuckles-the-malevolent-nun-she-might-get-rather-crude
Toby Twirl and the Talking Poodle,(1953),"Samson Low, Son & Marsten",Hard Cover:,# 1,https://comicbookrealm.com/cover-scan/1e6ccd5e540adc7d6ae89807e79414ed/xl/samson-low-son-marsten-toby-twirl-and-the-talking-poodle-hard-cover-1.jpg,1953,$0.00,,,, ,https://comicbookrealm.com/series/62806/0/samson-low-son-marsten-toby-twirl-and-the-talking-poodle
Baby Shark’s Big Show!: Hide and Hunt,(2022),Harper Alley,TPB:,# 1,https://comicbookrealm.com/cover-scan/f8d609edb3d774d7a719f031c83892d7/xl/harper-alley-baby-sharks-big-show-hide-and-hunt-tpb-1.jpg,May '22,$4.99,978-0063158894,,,"Baby Shark’s Big Show!: Hide and Hunt

Baby Shark makes his I Can Read Comic debut! Based on the all-new Nickelodeon series and featuring a bold new comic style and easy-to-read text, this Level One I Can Read Comic is perfect for sharing with the Baby Shark fan in your life! Thanks to his super shark senses...aaaand William's predictable hiding spot, Baby wins yet another game ""Hide and Hunt."" Young Baby Shark fans will giggle as they follow along. Baby Shark's Big Show!: Hide and Hunt is a Level One I Can Read Comic, which means it's perfect for shared reading with young readers new to graphic novel storytelling. Baby Shark's Big Show! is a Nickelodeon animated series starring everyone's favorite shark along with his shark family and ocean friends. The show is based on the Pinkfong characters from the YouTube global phenomenon with over 8 billion views. ",https://comicbookrealm.com/series/72186/0/harper-alley-baby-sharks-big-show-hide-and-hunt
Girl on Fire,(2022),Harper Alley,Hard Cover:,# 1,https://comicbookrealm.com/cover-scan/20bed7c671f0bf21098bc91bc3cab861/xl/harper-alley-girl-on-fire-hard-cover-1.jpg,Mar '22,$19.99,978-0063029569,,,"Girl On Fire

From New York Times bestselling author and 15-time GRAMMY(R) Award-winning artist Alicia Keys comes a new authentic and poignant coming-of-age young adult graphic novel, about finding the strength within when your whole world changes in an instant. Lolo Wright always thought she was just a regular fourteen-year-old dealing with regular family drama: her brother, James, is struggling with his studies; her dad's business constantly teeters on the edge of trouble; and her mother . . . she left long ago. But then Lolo's world explodes when a cop pulls a gun on James in a dangerous case of mistaken identities. Staring down the barrel, with no one else to help, Lolo discovers powers she never knew she had. Using only her mind, she literally throws the cop out of the way. Problem is that secrets like Lolo's don't stay a secret for long. Skin, a dangerous dealer with designs on taking over the neighborhood, hears of Lolo's telekinetic abilities and decides that he needs her in his crew. Skin might not have Lolo's powers, but he's got nothing to lose and is willing to do whatever it takes to get what he wants. And what he wants is Lolo. Lolo's not willing to let Skin use her to hurt the people--and neighborhood--that she loves. But it's going to take a whole different kind of bravery to stand-up for what's right, especially after Lolo's mom returns suddenly and turns Lolo's whole world upside-down. For too long, it's true, Lolo's had her head in the clouds, but this time, it's on her . . . and she's not backing down. Girl on Fire is a young adult graphic novel about a girl who's a flame. It's the first-ever graphic novel from beloved GRAMMY(R) Award-winning artist Alicia Keys, co-written by Andrew Weiner and illustrated by Brittney Williams. ",https://comicbookrealm.com/series/70034/0/harper-alley-girl-on-fire
My Little Pony: Izzy Comes Home,(2022),Harper Alley,TPB:,# 1,https://comicbookrealm.com/cover-scan/001687e8b09517ae33c89f2b605fbeec/xl/harper-alley-my-little-pony-izzy-comes-home-tpb-1.jpg,May '22,$4.99,978-0063037519,,,"Izzy Comes Home

Based on the all-new animated series, the My Little Pony friends go on a new adventure in this I Can Read Comic. Featuring a bold new comic style and easy-to-read text , this Level One I Can Read Comic is perfect for everypony! When Izzy tells Sunny stories about growing up in Bridlewood, Sunny suggests visiting Izzy's favorite places in her hometown. Although Izzy loves Bridlewood, the friends ultimately discover that home isn't a place, it 's being with your family. My Little Pony: New Series Izzy Comes Home is a Level One I Can Read Comic, which means it's perfect for shared reading with young readers new to graphic novel storytelling. ",https://comicbookrealm.com/series/71693/0/harper-alley-my-little-pony-izzy-comes-home
