Title,Volume,Publisher,Label,Issue Number,Image,Cover Date,Cover Price,ISBN/UPC,Contributors,Characters,Details,URL
,,,,,,,,,,,,
Copies,One-Shot (2016),Adrienne Bazir,Issue:,# 1,,,$3.00,,,, ,https://comicbookrealm.com/series/45100/0/adrienne-bazir-copies-one-shot
Kiss my Ass / Sufferin’ Succotash,(1971),Adventures in Poetry,Issue:,nn,https://comicbookrealm.com/cover-scan/3478b1bd5cede0055e76818aac5c8d2b/xl/adventures-in-poetry-kiss-my-ass-sufferin-succotash-issue-nn.jpg,Jan '71,$1.00,,,,300 Copies of Which 26 are Signet & Lettered ,https://comicbookrealm.com/series/67130/0/adventures-in-poetry-kiss-my-ass-sufferin-succotash
Scarlet Fox,(2002),Aerosol Press,Issue:,# 1,https://comicbookrealm.com/cover-scan/3f9dab31aa671ee3aa349ef20c860f08/xl/aerosol-press-scarlet-fox-issue-1.jpg,,$2.25,,,, ,https://comicbookrealm.com/series/26381/0/aerosol-press-scarlet-fox
Digging for the Truth,One-Shot (2006),AETN,Issue:,# 1,https://comicbookrealm.com/cover-scan/858f4dd6322f8d5f2c746def1db2634a/xl/aetn-digging-for-the-truth-one-shot-issue-1.jpg,2006,Free,,,,"History Channel Promotional Giveaway

Josh Bernstein and the Search for Shangri-La ",https://comicbookrealm.com/series/35291/0/aetn-digging-for-the-truth-one-shot
After Midnight,(2015),After Midnight,Soft Cover:,# 1,,,$20.00,,,, ,https://comicbookrealm.com/series/38698/0/after-midnight-after-midnight
Three Fisted Tails,(1971),Agape Ark Cookbook / Ken Green,Issue:,# 1,https://comicbookrealm.com/cover-scan/8a7404f4ab1bc78479ff35a506e582b4/xl/agape-ark-cookbook-ken-green-three-fisted-tails-issue-1.jpg,Jan '71,$0.50,,,, ,https://comicbookrealm.com/series/70236/0/agape-ark-cookbook-ken-green-three-fisted-tails
Mark Twain's Niagara,(2018),AH Comics,Soft Cover:,# 1,https://comicbookrealm.com/cover-scan/943b5d0a08891d9a6244a334d1a340bc/xl/ah-comics-mark-twains-niagara-soft-cover-1.jpg,Oct '18,$8.99,978-0987715272,,,"Mark Twain's Niagara is an adventurous, original graphic novel based on the short story ""Niagara"" written by Mark Twain in the 1860's. The famous author embarks on an incredible journey through legend and history, as we follow a younger version of himself into the Niagara region by steam train. Through Twain's eyes, we discover some of the most exciting events of the past, encountering familiar and mysterious figures, some living, some long since passed. ",https://comicbookrealm.com/series/54202/0/ah-comics-mark-twains-niagara
Magus Rex,One-Shot (1996),"Ahh, Muskie! Press",Issue:,# 1,https://comicbookrealm.com/cover-scan/c85912bb99773a9678b0ee5b2be57999/xl/ahh-muskie-press-magus-rex-one-shot-issue-1.jpg,Jul '96,$2.50,,,, ,https://comicbookrealm.com/series/55004/0/ahh-muskie-press-magus-rex-one-shot
Air Pirates Funnies: All Comix,Tabloid (1972),Air Pirates Collective,Issue:,nn,https://comicbookrealm.com/cover-scan/f6f6b7663208c8787afeaab7acbc3aaf/xl/air-pirates-collective-air-pirates-funnies-all-comix-tabloid-issue-nn.jpg,1972,$0.25,,,, ,https://comicbookrealm.com/series/54121/0/air-pirates-collective-air-pirates-funnies-all-comix-tabloid
Mechoverse,One-Shot (1987),Airbrush Comics,Issue:,# 1,https://comicbookrealm.com/cover-scan/2e4d2dc4b93fe486b5bc859b9a33aac7/xl/airbrush-comics-mechoverse-one-shot-issue-1.jpg,Dec '86,$1.50,,"Ian Tetrault
Scripts - Pencils - Inks - Colors",, ,https://comicbookrealm.com/series/29984/0/airbrush-comics-mechoverse-one-shot
Lint McCree Mysteries,(2000),AKF Comics,Issue:,# 1,https://comicbookrealm.com/cover-scan/2330d7f46aa2bd1a9fa3f9b53bf3a86c/xl/akf-comics-lint-mccree-mysteries-issue-1.jpg,2000,$2.95,,"Kevin Medeiros
Scripts
Nate Piekos (Blambot!)
Pencils - Cover Art - Inks - Editor",, ,https://comicbookrealm.com/series/46901/0/akf-comics-lint-mccree-mysteries
